id,category,app,description,auth_method,self_serve_vs_gated,api_surface,existing_mcp_signal,buildability_verdict,main_blocker,evidence_url,confidence,human_review_needed,priority_score,launch_motion
29,Communications and Messaging,Aircall,"Sends, receives, or automates messages across communication channels.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developer.aircall.io/api-references/,High,no,78,Build after OAuth app/scopes are mapped
30,Communications and Messaging,Vonage,"Sends, receives, or automates messages across communication channels.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developer.vonage.com/en/api,High,no,78,Build after OAuth app/scopes are mapped
31,"Marketing, Ads, Email and Social",Google Ads,"Runs campaigns, audiences, ads, email, or social workflows.",OAuth2,Gated / approval needed,REST,Not found in first pass,Gated / needs outreach,Developer token approval and OAuth consent are required.,https://developers.google.com/google-ads/api/docs/start,Medium,yes,38,"Qualify first: outreach, partner access, or paid account needed"
32,"Marketing, Ads, Email and Social",Meta Ads,"Runs campaigns, audiences, ads, email, or social workflows.",OAuth2,Gated / approval needed,REST,Not found in first pass,Gated / needs outreach,"App review, business verification, and permission approval can gate useful access.",https://developers.facebook.com/docs/marketing-apis,Medium,yes,38,"Qualify first: outreach, partner access, or paid account needed"
33,"Marketing, Ads, Email and Social",LinkedIn Ads,"Runs campaigns, audiences, ads, email, or social workflows.",OAuth2,Gated / approval needed,REST,Not found in first pass,Gated / needs outreach,Marketing API access is permissioned and often partner/review gated.,https://learn.microsoft.com/en-us/linkedin/marketing/,Medium,yes,38,"Qualify first: outreach, partner access, or paid account needed"
34,"Marketing, Ads, Email and Social",GoHighLevel,"Runs campaigns, audiences, ads, email, or social workflows.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://highlevel.stoplight.io/docs/integrations/,High,no,78,Build after OAuth app/scopes are mapped
35,"Marketing, Ads, Email and Social",Mailchimp,"Runs campaigns, audiences, ads, email, or social workflows.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://mailchimp.com/developer/marketing/api/,High,no,78,Build after OAuth app/scopes are mapped
36,"Marketing, Ads, Email and Social",Klaviyo,"Runs campaigns, audiences, ads, email, or social workflows.",API key / token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://developers.klaviyo.com/en/reference/api_overview,High,no,95,Build now: self-serve API and simple credential path
37,"Marketing, Ads, Email and Social",systeme.io,"Runs campaigns, audiences, ads, email, or social workflows.",API key / token,Self-serve or trial likely,GraphQL,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://developer.systeme.io/,High,no,95,Build now: self-serve API and simple credential path
38,"Marketing, Ads, Email and Social",Pinterest,"Runs campaigns, audiences, ads, email, or social workflows.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developers.pinterest.com/docs/api/v5/,High,no,78,Build after OAuth app/scopes are mapped
39,"Marketing, Ads, Email and Social",Threads (Meta),"Runs campaigns, audiences, ads, email, or social workflows.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developers.facebook.com/docs/threads,High,no,78,Build after OAuth app/scopes are mapped
40,"Marketing, Ads, Email and Social",SendGrid,"Runs campaigns, audiences, ads, email, or social workflows.",API key,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://www.twilio.com/docs/sendgrid/api-reference,High,no,95,Build now: self-serve API and simple credential path
41,Ecommerce,Shopify,"Manages stores, products, orders, payments, or marketplace operations.",OAuth2,Self-serve or trial likely,GraphQL + REST,Community MCP likely,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://shopify.dev/docs/api,High,no,83,Build after OAuth app/scopes are mapped
42,Ecommerce,WooCommerce,"Manages stores, products, orders, payments, or marketplace operations.",Consumer key / Basic,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://woocommerce.github.io/woocommerce-rest-api-docs/,High,no,80,Build now: self-serve API and simple credential path
43,Ecommerce,BigCommerce,"Manages stores, products, orders, payments, or marketplace operations.",API key / token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://developer.bigcommerce.com/docs/rest-management,High,no,95,Build now: self-serve API and simple credential path
44,Ecommerce,Salesforce Commerce Cloud,"Manages stores, products, orders, payments, or marketplace operations.",Unclear / account-based,Gated / approval needed,REST,Not found in first pass,Gated / needs outreach,Commerce Cloud tenant and admin/developer access are required.,https://developer.salesforce.com/docs/commerce,Low,yes,18,"Qualify first: outreach, partner access, or paid account needed"
45,Ecommerce,Magento (Adobe Commerce),"Manages stores, products, orders, payments, or marketplace operations.",OAuth2,Self-serve or trial likely,GraphQL + REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developer.adobe.com/commerce/webapi/rest/,High,no,78,Build after OAuth app/scopes are mapped
46,Ecommerce,Squarespace,"Manages stores, products, orders, payments, or marketplace operations.",API key / token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://developers.squarespace.com/,High,no,95,Build now: self-serve API and simple credential path
47,Ecommerce,Ecwid,"Manages stores, products, orders, payments, or marketplace operations.",API key / token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://api-docs.ecwid.com/reference/rest-api,High,no,95,Build now: self-serve API and simple credential path
48,Ecommerce,Gumroad,"Manages stores, products, orders, payments, or marketplace operations.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://gumroad.com/api,High,no,78,Build after OAuth app/scopes are mapped
49,Ecommerce,Amazon Selling Partner,"Manages stores, products, orders, payments, or marketplace operations.",API key / token,Gated / approval needed,REST,Not found in first pass,Gated / needs outreach,"Seller/vendor account, LWA, AWS IAM, and app review create a high setup gate.",https://developer-docs.amazon.com/sp-api/,Medium,yes,45,"Qualify first: outreach, partner access, or paid account needed"
50,Ecommerce,fanbasis,"Manages stores, products, orders, payments, or marketplace operations.",API key / token,Gated / approval needed,Unclear / limited public API,Not found in first pass,Gated / needs outreach,Public developer surface was not clearly discoverable from the app hint.,https://www.fanbasis.com/,Medium,yes,35,"Qualify first: outreach, partner access, or paid account needed"
51,"Data, SEO and Scraping",DataForSEO,"Provides data extraction, SEO intelligence, scraping, or enrichment workflows.",Basic auth,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://docs.dataforseo.com/,High,no,95,Build now: self-serve API and simple credential path
52,"Data, SEO and Scraping",SE Ranking,"Provides data extraction, SEO intelligence, scraping, or enrichment workflows.",API key / token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://seranking.com/api.html,High,no,95,Build now: self-serve API and simple credential path
53,"Data, SEO and Scraping",Ahrefs,"Provides data extraction, SEO intelligence, scraping, or enrichment workflows.",API key / token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://docs.ahrefs.com/,High,no,95,Build now: self-serve API and simple credential path
54,"Data, SEO and Scraping",MrScraper,"Provides data extraction, SEO intelligence, scraping, or enrichment workflows.",API key / token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://docs.mrscraper.com/,High,no,95,Build now: self-serve API and simple credential path
55,"Data, SEO and Scraping",Apify,"Provides data extraction, SEO intelligence, scraping, or enrichment workflows.",API token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://docs.apify.com/api/v2,High,no,95,Build now: self-serve API and simple credential path
56,"Data, SEO and Scraping",Firecrawl,"Provides data extraction, SEO intelligence, scraping, or enrichment workflows.",API key,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://docs.firecrawl.dev/api-reference/introduction,High,no,95,Build now: self-serve API and simple credential path
57,"Data, SEO and Scraping",Bright Data,"Provides data extraction, SEO intelligence, scraping, or enrichment workflows.",API token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://docs.brightdata.com/api-reference/introduction,Medium,yes,82,Build now: self-serve API and simple credential path
58,"Data, SEO and Scraping",Sherlock,"Provides data extraction, SEO intelligence, scraping, or enrichment workflows.",None / CLI,Self-serve or trial likely,CLI / package interface,Not found in first pass,Buildable wrapper,"Can be wrapped as a command/tool, but app-account workflows may be limited.",https://github.com/sherlock-project/sherlock,High,no,49,"Prototype wrapper, then validate real user demand"
59,"Data, SEO and Scraping",Waterfall.io,"Provides data extraction, SEO intelligence, scraping, or enrichment workflows.",API key / token,Gated / approval needed,Unclear / limited public API,Not found in first pass,Gated / needs outreach,Contact-data products commonly gate API access behind sales or account approval.,https://waterfall.io/,Medium,yes,35,"Qualify first: outreach, partner access, or paid account needed"
60,"Data, SEO and Scraping",Clay,"Provides data extraction, SEO intelligence, scraping, or enrichment workflows.",Unclear / account-based,Gated / approval needed,REST,Not found in first pass,Gated / needs outreach,Public API/access appears tied to account and plan constraints.,https://docs.clay.com/,Medium,yes,30,"Qualify first: outreach, partner access, or paid account needed"
61,"Developer, Infra and Data platforms",GitHub,"Provides developer APIs for infrastructure, data, monitoring, or deployment.",OAuth2,Self-serve or trial likely,GraphQL + REST,"Yes, official/community MCP exists",Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://docs.github.com/en/rest,High,no,83,Build after OAuth app/scopes are mapped
62,"Developer, Infra and Data platforms",Vercel,"Provides developer APIs for infrastructure, data, monitoring, or deployment.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://vercel.com/docs/rest-api,High,no,78,Build after OAuth app/scopes are mapped
63,"Developer, Infra and Data platforms",Netlify,"Provides developer APIs for infrastructure, data, monitoring, or deployment.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://docs.netlify.com/api/get-started/,High,no,78,Build after OAuth app/scopes are mapped
64,"Developer, Infra and Data platforms",Cloudflare,"Provides developer APIs for infrastructure, data, monitoring, or deployment.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developers.cloudflare.com/api/,High,no,78,Build after OAuth app/scopes are mapped
65,"Developer, Infra and Data platforms",Supabase,"Provides developer APIs for infrastructure, data, monitoring, or deployment.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://supabase.com/docs/reference,High,no,78,Build after OAuth app/scopes are mapped
66,"Developer, Infra and Data platforms",Neo4j,"Provides developer APIs for infrastructure, data, monitoring, or deployment.",API key / token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://neo4j.com/docs/http-api/current/,High,no,95,Build now: self-serve API and simple credential path
67,"Developer, Infra and Data platforms",Snowflake,"Provides developer APIs for infrastructure, data, monitoring, or deployment.",Unclear / account-based,Gated / approval needed,REST,Not found in first pass,Gated / needs outreach,Usable API access needs a Snowflake account and configured authentication.,https://docs.snowflake.com/en/developer-guide/snowflake-rest-api/snowflake-rest-api,Medium,yes,30,"Qualify first: outreach, partner access, or paid account needed"
68,"Developer, Infra and Data platforms",MongoDB Atlas,"Provides developer APIs for infrastructure, data, monitoring, or deployment.",API key / token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://www.mongodb.com/docs/api/doc/atlas-admin-api-v2/,High,no,95,Build now: self-serve API and simple credential path
69,"Developer, Infra and Data platforms",Datadog,"Provides developer APIs for infrastructure, data, monitoring, or deployment.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://docs.datadoghq.com/api/latest/,High,no,78,Build after OAuth app/scopes are mapped
70,"Developer, Infra and Data platforms",Sentry,"Provides developer APIs for infrastructure, data, monitoring, or deployment.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://docs.sentry.io/api/,High,no,78,Build after OAuth app/scopes are mapped
71,Productivity and Project Management,Notion,"Manages documents, projects, tasks, schedules, or work records.",OAuth2,Self-serve or trial likely,REST,"Yes, common MCP/tooling exists",Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developers.notion.com/,High,no,83,Build after OAuth app/scopes are mapped
72,Productivity and Project Management,Airtable,"Manages documents, projects, tasks, schedules, or work records.",OAuth2,Self-serve or trial likely,REST,Community MCP likely,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://airtable.com/developers/web/api/introduction,High,no,83,Build after OAuth app/scopes are mapped
73,Productivity and Project Management,Linear,"Manages documents, projects, tasks, schedules, or work records.",OAuth2,Self-serve or trial likely,GraphQL,Community MCP likely,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developers.linear.app/docs/graphql/working-with-the-graphql-api,High,no,83,Build after OAuth app/scopes are mapped
74,Productivity and Project Management,Jira,"Manages documents, projects, tasks, schedules, or work records.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developer.atlassian.com/cloud/jira/platform/rest/v3/,High,no,78,Build after OAuth app/scopes are mapped
75,Productivity and Project Management,Asana,"Manages documents, projects, tasks, schedules, or work records.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developers.asana.com/docs,High,no,78,Build after OAuth app/scopes are mapped
76,Productivity and Project Management,Monday.com,"Manages documents, projects, tasks, schedules, or work records.",OAuth2,Self-serve or trial likely,GraphQL,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developer.monday.com/api-reference/docs,High,no,78,Build after OAuth app/scopes are mapped
77,Productivity and Project Management,ClickUp,"Manages documents, projects, tasks, schedules, or work records.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://clickup.com/api,High,no,78,Build after OAuth app/scopes are mapped
78,Productivity and Project Management,Coda,"Manages documents, projects, tasks, schedules, or work records.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://coda.io/developers/apis/v1,High,no,78,Build after OAuth app/scopes are mapped
79,Productivity and Project Management,Smartsheet,"Manages documents, projects, tasks, schedules, or work records.",API key / token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://smartsheet.redoc.ly/,High,no,95,Build now: self-serve API and simple credential path
80,Productivity and Project Management,Harvest,"Manages documents, projects, tasks, schedules, or work records.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://help.getharvest.com/api-v2/,High,no,78,Build after OAuth app/scopes are mapped
81,Finance and Fintech,Stripe,"Manages payments, accounting, financial data, banking, or spend workflows.",API key + OAuth2,Self-serve or trial likely,REST,Community MCP likely,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://docs.stripe.com/api,High,no,83,Build after OAuth app/scopes are mapped
82,Finance and Fintech,Plaid,"Manages payments, accounting, financial data, banking, or spend workflows.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://plaid.com/docs/api/,High,no,78,Build after OAuth app/scopes are mapped
83,Finance and Fintech,Binance,"Manages payments, accounting, financial data, banking, or spend workflows.",API key / signed requests,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://developers.binance.com/docs/binance-spot-api-docs/rest-api,High,no,80,Build now: self-serve API and simple credential path
84,Finance and Fintech,Paygent Connect,"Manages payments, accounting, financial data, banking, or spend workflows.",Gateway credentials,Gated / approval needed,REST,Not found in first pass,Gated / needs outreach,NMI-powered payment gateway credentials are merchant/account gated.,https://docs.nmi.com/docs/gateway-api,Low,yes,18,"Qualify first: outreach, partner access, or paid account needed"
85,Finance and Fintech,iPayX,"Manages payments, accounting, financial data, banking, or spend workflows.",API key / token,Gated / approval needed,REST,Not found in first pass,Gated / needs outreach,"Docs may exist, but payment/merchant access is likely account gated.",https://ipayx.ai/docs,Medium,yes,45,"Qualify first: outreach, partner access, or paid account needed"
86,Finance and Fintech,QuickBooks,"Manages payments, accounting, financial data, banking, or spend workflows.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developer.intuit.com/app/developer/qbo/docs/api/accounting/all-entities/account,High,no,78,Build after OAuth app/scopes are mapped
87,Finance and Fintech,Xero,"Manages payments, accounting, financial data, banking, or spend workflows.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developer.xero.com/documentation/api/accounting/overview,High,no,78,Build after OAuth app/scopes are mapped
88,Finance and Fintech,Brex,"Manages payments, accounting, financial data, banking, or spend workflows.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developer.brex.com/openapi/,Medium,yes,65,Build after OAuth app/scopes are mapped
89,Finance and Fintech,Ramp,"Manages payments, accounting, financial data, banking, or spend workflows.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://docs.ramp.com/developer-api/v1/overview/introduction,High,no,78,Build after OAuth app/scopes are mapped
90,Finance and Fintech,PitchBook,"Manages payments, accounting, financial data, banking, or spend workflows.",Unclear / account-based,Gated / approval needed,REST,Not found in first pass,Gated / needs outreach,Research API is enterprise/commercial access gated.,https://pitchbook.com/data/api,Low,yes,18,"Qualify first: outreach, partner access, or paid account needed"
91,"AI, Research and Media-native",NotebookLM,"Provides AI, research, transcript, document, meeting, or media workflows.",Enterprise Google Cloud auth,Gated / approval needed,Unclear / limited public API,Not found in first pass,Gated / needs outreach,Consumer NotebookLM does not expose a general public API; Gemini Enterprise is adjacent.,https://cloud.google.com/gemini/docs,Medium,yes,20,"Qualify first: outreach, partner access, or paid account needed"
92,"AI, Research and Media-native",Otter AI,"Provides AI, research, transcript, document, meeting, or media workflows.",API key / token,Gated / approval needed,Unclear / limited public API,Prompt hint says MCP server,Gated / needs outreach,Public API/tooling signal is limited; access appears product/account constrained.,https://help.otter.ai/,Medium,yes,40,"Qualify first: outreach, partner access, or paid account needed"
93,"AI, Research and Media-native",Fathom,"Provides AI, research, transcript, document, meeting, or media workflows.",API key / token,Gated / approval needed,Unclear / limited public API,Not found in first pass,Gated / needs outreach,Public API surface is limited relative to app UI automation needs.,https://fathom.video/,Medium,yes,35,"Qualify first: outreach, partner access, or paid account needed"
94,"AI, Research and Media-native",Consensus,"Provides AI, research, transcript, document, meeting, or media workflows.",API key / token,Gated / approval needed,Unclear / limited public API,Not found in first pass,Gated / needs outreach,"OAuth/API access requested in prompt, but public self-serve developer surface is unclear.",https://consensus.app/,Medium,yes,35,"Qualify first: outreach, partner access, or paid account needed"
