id,category,app,website_hint
91,"AI, Research and Media-native",NotebookLM,cloud.google.com/gemini
92,"AI, Research and Media-native",Otter AI,help.otter.ai
93,"AI, Research and Media-native",Fathom,fathom.video
94,"AI, Research and Media-native",Consensus,consensus.app
95,"AI, Research and Media-native",Reducto,reducto.ai
96,"AI, Research and Media-native",Devin,docs.devin.ai
97,"AI, Research and Media-native",higgsfield,higgsfield.ai/cli
98,"AI, Research and Media-native",Mermaid CLI,github.com/mermaid-js/mermaid-cli
99,"AI, Research and Media-native",YouTube Transcript,transcriptapi.com
100,"AI, Research and Media-native",Grain,grain.com
